Field,Option
occupation,Special Force Soldier
occupation,Speculator
occupation,Speech Therapist
occupation,Spirit Medium
occupation,Sports Coach
occupation,Sportsperson
occupation,Spy
occupation,Spymaster
occupation,Squatter
occupation,Squire
occupation,Stablehand
occupation,Stage Magician
occupation,Stagehand
occupation,Stay At Home Mom
occupation,Steeplejack
occupation,Steward
occupation,Stockbroker
occupation,Stonemason
occupation,Street Entertainer
occupation,Student
occupation,Stuntman/stuntwoman
occupation,Summoner
occupation,Surgeon
occupation,Surgeon/chirurgeon
occupation,Surveyor
occupation,Tactician
occupation,Tailor
occupation,Tailor Or Dressmaker
occupation,Talent Scout
occupation,Tanner
occupation,Tarot Reader
occupation,Tattooist
occupation,Tax Collector
occupation,Tax Inspector
occupation,Taxi Driver
occupation,Taxidermist
occupation,Taxonomist
occupation,Teacher
occupation,Teaching Assistant
occupation,Telephonist
occupation,Telesales Person
occupation,Television Presenter
occupation,Templar
occupation,Theater Director
occupation,Theologian
occupation,Thief
occupation,Thresher
occupation,Thrift Dealer
occupation,Thug
occupation,Tinker
occupation,Toilet Attendant
occupation,Tollkeeper
occupation,Toolmaker
occupation,Torturer
occupation,Tour Guide
occupation,Town Crier
occupation,Toymaker
occupation,Tradesman
occupation,Traffic Warden
occupation,Train Conductor
occupation,Train Driver
occupation,Trainer
occupation,Translator
occupation,Transmuter
occupation,Trapper
occupation,Travel Agent
occupation,Traveler/wanderer/vagabond
occupation,Tunner
occupation,Tutor
occupation,Typist
occupation,Undertaker
occupation,Unemployed
occupation,Urchin
occupation,Vendor
occupation,Veterinarian
occupation,Vintner
occupation,Viscount/viscountess
occupation,Waiting Staff
occupation,Ward
occupation,Warden
occupation,Warlock
occupation,Warmage
occupation,Warrior
occupation,Watchmaker
occupation,Water Bearer
occupation,Water Witch
occupation,Weaponsmith
occupation,Weaver
occupation,Welder
occupation,Wet Nurse
occupation,Wheelwright
occupation,Whittler/woodcarver
occupation,Window Cleaner
occupation,Witch
occupation,Witchdoctor
occupation,Wizard
occupation,Wordsmith
occupation,Wrestler
occupation,Writer
occupation,Zookeeper
occupation,Zoologist
mbti,ENFJ
mbti,ENFP
mbti,ENTJ
mbti,ENTP
mbti,ESFJ
mbti,ESFP
mbti,ESTJ
mbti,ESTP
mbti,INFJ
mbti,INFP
mbti,INTJ
mbti,INTP
mbti,ISFJ
mbti,ISFP
mbti,ISTJ
mbti,ISTP
moral,Chaotic Evil
moral,Chaotic Good
moral,Chaotic Neutral
moral,Lawful Evil
